1001,1,Rock Legends,TRUE,2020-01-15,150
1002,2,Mix,FALSE,2024-02-20,100
1003,3,Vibes,TRUE,2019-03-10,230
1004,4,Night Owl,FALSE,2015-05-25,121
1005,5,Vinyl Classics,TRUE,2023-12-02,67
1006,6,Groovy,FALSE,2024-10-31,111
1007,7,Hits,TRUE,2021-09-19,75
1008,8,Essentials,FALSE,2022-04-12,87
1009,9,80's Synth,TRUE,2023-11-01,101
1010,10,Favs,FALSE,2024-07-27,96
1011,11,Good,TRUE,2024-07-27,90
1012,11,Love,FALSE,2024-11-25,55
1013,12,Party,TRUE,2023-12-15,100
1014,13,Indie Gems,FALSE,2024-10-09,40
1015,14,Road Trip,TRUE,2022-03-01,101
1016,15,Morning,FALSE,2021-08-18,122
1017,15,Sleep,TRUE,2024-06-04,45
1018,16,R&B Love,FALSE,2020-03-31,78
1019,17,Jazz,TRUE,2025-02-03,100
1020,18,Electronic,FALSE,2025-04-09,87
